project_id,full_description,lead_funder
NE/F011210/1,"Arctic sea ice is at present on track to achieve a record minimum in extent during September 2007. While solar energy input to the ocean through openings in the sea ice is accelerating the melting process, there is another potentially important source of heat in the near-surface layer of the ocean. Historically, this layer of warm water of Atlantic Ocean origin has been isolated from the surface sea ice by an intermediate layer of low salinity water. During the 1990's the salinity of that layer increased significantly and the barrier to upward heat penetration became weaker at a time of increased temperature of the Atlantic water layer. We hypothesize that variability in the temperature and salinity of these upper layers of the Arctic Ocean, notably warming of the Atlantic layer and salinification (or weakening) of the overlying cold halocline, will result in enhanced upward heat fluxes which can significantly impact the rates of melting or freezing of sea ice in the Arctic Ocean. We propose to quantify the effects of variations in the upper ocean temperature and salinity on vertical heat flux by measuring the turbulent heat flux beneath autonomous buoys that will be deployed on drifting Arctic sea ice during the International Polar Year. As part of the UK International Polar Year (IPY) contribution to a growing integrated Arctic Ocean Observing System (iAOOS), the Scottish Association for Marine Science (SAMS) will build and deploy in 2008 two ice-tethered profilers (ITPs) of their own design under NERC funding of the Arctic Synoptic Basin-wide Oceanography (ASBO) project. Over the course of their 1-2 year lifetimes, these ITPs will drift across the central Arctic Ocean basins with the sea ice on which they were deployed, relaying back in near-real time temperature and salinity data from the upper layers of the ocean waters over which the sea ice has drifted. As presently designed, and with the existing NERC ASBO support, the SAMS ITPs will resolve the vertical structure and horizontal extent of the important upper-ocean water masses. We propose to augment the SAMS ITPs with fast-response temperature sensors to measure turbulent temperature fluctuations and to determine the vertical heat flux through the upper ocean layers along the ITP Arctic drift paths. Fast-response thermistors are the standard sensors for measuring oceanic temperature signatures of mixing, and have been employed for many years on ship-based profiling turbulence packages. In recent years, fast-response thermistors have been mounted on profiling floats and moorings. The proposed work will be a new application of this well-established measurement technique, and as such represents an advance in measurement capability for the iAOOS during the IPY. The ITPs will be deployed on the Canadian side of the Lomonosov Ridge in the mean path of the trans-polar ice drift, and will thus yield measurements along trajectories that cross the major ridge systems and upper ocean currents of the Eurasian Basin. These will be first basin-scale measurements of turbulent fluctuations through the upper ocean structure (mixed layer, cold halocline, and Atlantic water) in the Arctic Ocean, and as such will vastly increase the areal coverage of data on mixing in the Arctic, as well as yield new insight into the impacts of variability of the upper ocean on overall heat budget of the Arctic, including the impact on sea-ice melting and growth.",NERC
EP/Y031962/1,"Synchrotron radiation (SR) sources provide brilliant beams of light by accelerating electrons at high energies around a circular magnetic lattice. The resulting X-rays provide a uniquely powerful tool in the exploration of structure, composition and excitations in materials. 

XMaS is an integral part of the UK's synchrotron radiation (SR) infrastructure and has been supporting UK materials scientists since it began operations at the European Synchrotron Radiation Facility (ESRF) in 1997. Following the recently completed ESRF upgrade, XMaS has undergone extensive modifications to deliver a state-of-the-art facility fully exploiting the capabilities of the new machine. It delivers a much more brilliant X-ray beam with an operational energy range from 2.1 to 40 keV. The upgraded facility is more versatile, providing a combination of techniques from X-ray diffraction to small angle X-ray scattering as well as X-ray absorption and emission spectroscopy. Due to the close engagement with users in co-developing and refining sample environments the scientific areas addressed on XMaS are broad and interdisciplinary. The science portfolio on XMaS continues to evolve, embracing a broad spectrum of scientific disciplines under the generic theme of materials science, cutting across research in physics, chemistry, biosciences, healthcare, engineering, and energy. XMaS provides access to tender X-ray spectroscopy (2-4 keV), which is very uncommon and in high demand, especially for application to materials such as batteries and catalysts as well as in heritage and environmental research. The new high energy capability (25-40 keV) opens up operando experiments as well as accessing technologically important X-ray absorption edges. The same sample volume is measured across an extensive energy range and within the same sample environment. This enables real time reactions to be followed on a site-by-site basis and help develop new materials to accelerate the delivery of NetZero 2050. Combined X-ray metrologies and simultaneous measurements of sample properties allow the function-structure relationship to be explored across a wide range of length and time scales. It is by building on these new capabilities, that XMaS is able to deliver the correlative characterisation that is needed to understand ever more complex and heterogeneous materials and devices under technologically relevant conditions.

XMaS is an enabling tool, and is an essential part of the UK research infrastructure for material science ensuring that UK researchers have access to state-of-the-art instrumentation, expertise and techniques now and into the future. XMaS provides an essential layer of capacity and unique capabilities. In addition, by training students and early career researchers, XMaS provides highly skilled individuals to the wider materials research base. Partnerships with national research centres and international collaborators ensure the future competitiveness, resilience and creativity of the UK materials sector which relies on the development, characterisation, and exploitation of novel functional materials. The balance of science on XMaS will encompass both long-term discovery-led research as well as shorter term impact-focused research thereby providing an environment for transformative, challenge-led material science research.",EPSRC
EP/J000469/1,"The aim of this project is to design and demonstrate novel non-volatile and extremely low-power logic systems by hybridizing the newly developed three-terminal metal oxide device, Atom Transistor and nano-electro-mechanical (NEM) systems for future beyond von Neumann computing. The hybrid systems are investigated theoretically and experimentally using world-leading nanotechnologies of the NIMS team in Japan and the Southampton team in the UK. The operation of the systems is studied both on the device and circuit levels by using a multi-scale hybrid modelling. Basic circuits such as inverters and power management systems are designed utilizing the unique characteristics of the Atom Transistors and NEM switches. The duality of volatile and non-volatile operations of the Atom Transistors enables to design a new type of non-volatile logic systems which is similar to neurons in the brain. A novel bistable sleep transistor is also designed based on the recently developed suspended-gate silicon nanodot memory (SGSNM) technology for advanced power management architectures. Prototyping the systems is carried out jointly by transferring samples as well as technologies between the two teams, and electrical testing the circuits is conducted using state-of-the-art characterization tools at Southampton Nanofabrication Centre. The first demonstration of the revolutionary non-volatile logic systems towards information technology in the next generation will provide opportunities to companies for further development and commercialisation in both Japan and the UK. This will thereafter contribute to further enhance the existing economic relations between the two countries as well as strengthening their economies.",EPSRC
AH/D001560/1,"The study of reading and reception as social phenomena is now central to our understanding of literature, history and culture. It has become an established field within Book History. Scottish Readers Remember represents the first sustained and focused attempt to record the reading experiences of Scots in the twentieth century and, from them, to analyse not only changing tastes, practices, and habits but also the contribution of reading to an individual and collective sense of identity. Transcribed interviews, spread across communities in Scotland, will form the core of evidence and will be complemented by use of archival and other sources. Historical studies of previous centuries have obviously depended upon documentary sources and the opportunity to provide an oral archive from which a complementary study of the twentieth century could be written is timely.\n \nIndeed, reading once represented a large gap in our knowledge of social history, particularly reading as a factor in working-class experience. The gap has been narrowed for the nineteenth and early twentieth centuries by Professor Jonathan Rose and others drawing on a wealth of memoirs, autobiographies and diaries. A quantitative balance has been provided by the use of library and other records such as in the RGU-based study of Edzell Public Library. However, this project will also record the reading memories of the generation that is now in its 60s and above. The memories of this generation are at risk of loss due to increasing age. There is no such coherent archive of reading experiences in Scotland or indeed the UK; the study of twentieth-century reading that will be largely based on it will be a pioneer in furthering understanding of this key activity in terms of personal and social development.",AHRC
NE/S016015/1,"Given the economic, social and environmental value of the marine environment it makes sense to manage it in a way that ensures long term sustainability of both ecosystems and human uses. We can only do this if we understand the impact that human activities and management practises have on marine systems, including people. 
Spatial management measures such as fishery closures, marine protected areas and marine plans have emerged as a core component of the UK's marine management portfolio. In essence, spatial management aims to incorporate the diversity of human uses, consider the compatibility of different activities, and balance use with the impacts of these activities on biodiversity and people. Yet despite the extensive use of spatial management, substantial gaps in understanding exist regarding how to monitor the impacts of spatial management measures and evaluate their effectiveness across environmental, social and economic outcomes.

Our research aims to systematically bring together the available evidence on existing and emerging environmental, social and economic techniques for monitoring the effects of spatial management measures and evaluating their effectiveness. In particular we will focus on examples from countries with a coastline and in a similar socio-economic and political context to the UK. By clearly and transparently describing this evidence, we will be able to explore understanding surrounding methods for how to monitor and evaluate spatial management measures, and inform the development of guidelines and future monitoring and evaluation practises across the UK.

Our findings, in the form of a database, will be published alongside an article in the open-access journal Environmental Evidence, providing a highly accessible, freely available summary of the evidence. We will also produce a one-page policy summary, to disseminate our results to decision-makers, and a set of guidelines for use to facilitate application of our database. By making these outputs publicly available and easy to use we will give our work a lasting legacy beyond the life of the project. For example, researchers will be able to easily update and build on our database as desired or design research to fill evidence gaps, and decision-makers will be able to easily locate evidence of relevance to inform their monitoring and management activities. We will involve key stakeholders through our Stakeholder Group in the design of our project and discuss our results with them to ensure they are used to help inform spatial management in the UK.

The evidence base collated within this project is anticipated to benefit a wide range of sectors and users of the marine environment, as well as nature conservation and academic research. These benefits will extend beyond the UK to international policy audiences facing similar challenges in determining the impact of their spatial management activities. Our extended review team demonstrates the interdisciplinarity nature of this project being composed of researchers specialising in marine and fisheries management from environmental, social, economic and policy perspectives based across academic and charitable institutions. Our existing Stakeholder Group attests to the value of this project with support from: the Department of Environment, Food and Rural Affairs (Defra), the Marine Management Organisation (MMO), Marine Scotland Science (MSS), Department of Agriculture, Environment and Rural Affairs (DAERA), Joint Nature Conservation Committee (JNCC), the Inshore Fisheries and Conservation Authorities (IFCAs), and the Centre for Environment, Fisheries and Aquaculture Science (Cefas). We will seek to extend our Stakeholder Group to incorporate all of the UK Statutory Nature Conservation Bodies during the project programme.

Keywords: evaluation methods; fishery closure; marine spatial management; marine protected area; marine spatial plan; monitoring methods; systematic map",NERC
NC/R001162/1,"Liver cancer, classified into 2 main entities, Hepatocellularcarcinoma and Cholangiocarcinoma, is the 3rd cause of cancer death worldwide and its incidence is increasing due to co-funding factors such as obesity and life-style (e.g. alcoholism). The primary management of liver cancer is mainly restricted to surgical removal of the tumour. Unfortunately, few patients can benefit from it as, at the diagnostic time, the tumour has already spread and metastized. This is particularly the case for Cholangiocarcinomas, which are the most aggressive and with the poorest prognosis. When tumour resection is not an option, patients are left with little therapeutic options, which mainly rely on the use of clinically approved compounds such as sorafenib. However, this treatments have little efficacy as liver cancer is a very heterogenous entity, where the spectre of tumour mutations makes each patient's tumour an almost individual entity. Therefore, liver cancer would extremely benefit from personalized treatments instead of one-fits-all therapeutic approaches. 
To develop personalized treatments for liver cancer, at present, both industry and academics rely on Patient derived tumour xenografts (PDXs), which require the patient's tumour to be implanted into a mouse host. While these are very good models that retain all the histological, genetic and transcriptomic features of the patient's original tumour, they are not suitable to most of the patients as usually they fail to develop and, if they do, they are not amenable to test &gt;5 drugs, as they require many animals and resources.
A good alternative would be to be able to grow and expand the patient's primary tumour directly on a dish. To be a good and suitable model, these primary cultures should be expandable while it should retain the characteristics of the patient's tumour and be amenable for large drug screening (at least 20 coumpounds). However, up to now, these human liver cancer in vitro cultures have yet to be developed.
We have recently shown that human liver cancer cells can be expanded long-term from biospies of human donors and can be used to model human liver Alpha 1 Antitrypsin Deficiency, a rare monogenic disease of the liver. Therefore, in this proposal, we aim at translating our organoid culture system from modelling human liver biology in homeostasis to modelling human liver cancer in vitro. 

Therefore, our aim is to develop, characterize and validate primary liver cancer organoid cultures and prove the relevance in terms of similarity to the original patient's tissue as well as their applicability as platform for anti-cancer drug testing for future personalized medicine approaches for liver cancer patients. Also, because we will be studying human liver cancer tissue directly we believe that our culture system will result in the future replacement of animal models, and specially PDXs, for drug screening tests for human liver cancer personalized approaches.",NC3Rs
NE/V002937/1,"Trees play an essential role in sustaining life, providing wildlife habitats and timber and storing carbon, helping to reduce climate change. Tree cover accounts for around 17% of the land area of Great Britain, but trees across the UK landscape, in both woodlands and urban or agricultural environments (the 'treescape'), are currently at risk due to a range of pests and diseases, many of which result in eventual tree death or cause safety hazards due to dead hanging branches or increased risk of tree fall. For example, ash dieback, a disease which arrived in the UK in 2012, could lead to the loss of 90% of the UK's ash trees, currently one of the most common broadleaf species. This project will work with key partners with responsibility for managing trees or ensuring public safety, including the Department for Environment, Food and Rural Affairs (Defra), Network Rail and Norfolk County Council, to develop a monitoring system, which can ultimately be established across the UK treescape, in locations likely to provide an early warning of pest and disease spread (such as near ports or along roads and railways), or of importance for conservation, cultural reasons or public safety, to provide a 'sentinel' system of changes in the health of trees. 

The monitoring system, to be deployed in Norfolk, UK, will combine observations from sensors attached to individual trees in the landscape (measuring the condition of the tree canopy, movement of water, tree growth and the motion of the trunk as an indicator of risk of tree fall) with visual observations of tree health made by networks of voluntary 'citizen scientists', including current Tree Council Tree Wardens. Images obtained from cameras on drones and satellites will be used to expand the observations across a wider area and modelling methods will be used to combine the data from these different sources to estimate tree health and detect changes. 

A web-based interface will be developed to provide both volunteers and partners with accessible and easily interpreted information from sensors and models, and the experiences of volunteers of working with the technology will be explored through workshops. Models will also be developed to explore the efficiency and cost-effectiveness of different designs of sensor networks and to identify the ideal combinations of and distribution of sensors and observations for future use in monitoring larger areas and more locations. Workshops with partners and other interested stakeholders (e.g. forestry industry representatives or conservation organisations) will be used to examine the best ways in which sensor technology and model outputs can be communicated and the role such data can play in the decision-making processes. The demonstration network, representing a digital environment for tree health assessment and monitoring, will provide a blueprint for future deployment throughout the UK, leading to improved understanding of the spread of pests and diseases and better management of trees.",UKRI
ES/J01172X/1,"This project will show QM trainers how to encourage social science undergraduates (UGs) in many subject areas to engage with, use and re-use numeric evidence both wisely and appropriately. The project has assembled a team of international design experts to work with a large number of UG social science methods trainers in seven major UK universities. Together they will all prepare template course materials that link research designs to methods of quantitative data collection and analysis, and adapt these templates for use in their own subject areas. In this way, research design can be embedded in the teaching of undergraduate quantitative methods, through provision of training for current and future providers. The renewed emphasis on design at the outset of a study, currently rather neglected in UK researcher development, will have a number of immediate and longer-term benefits. It discourages schismic thinking among UGs since designs are largely independent of specific methods of data collection. It encourages true prediction and forethought in collecting data for new studies. It encourages the correct choice of methods of analysis for data that have already been collected. Above all, it holds the promise of simplifying analysis to such an extent that undergraduates may not even be aware that they are, in fact, working with 'quantitative' methods. 

The applicants and their team of experts and hosts are internationally-renowned methods experts who specialise in QM design, as well as being professionally-recognised and lauded adult educators. This combined expertise, together with the close engagement of trainers in QM in undergraduate teaching, will fill a major gap in UK social science QM teaching. International experts will prepare a wide range of resources and materials to show how design naturally and easily underpins the teaching of QM, accessible to undergraduates across all areas of social science. Although the focus will be on undergraduate teaching, we will build into our programme of events a progression from introductory through intermediate and to advanced training in order to up-skill QM teachers in the embedding of design at all levels. This will enable a step-change in teaching at undergraduate level and even beyond. The work programme of up-skilling of research methods trainers includes the creation of support and curricular materials tailored to all relevant areas, sustained collaborative development of materials and approaches, and delivery of intensive clinics UK-wide. THe materials will be trialled in practice in social science UG teaching among the seven HEIs involved, and ideally more widely by the end of the project. The project is led by the College of Social Sciences at the University of Birmingham. It will be delivered in co-operation with the Universities of Cardiff, Leicester, Manchester, Nottingham, Warwick and York, and will involve experts from US Northwestern University.",ESRC
EP/P034160/1,"New developments in Quantum Technology have resulted in the ability to cool atoms close to absolute zero using lasers. At these extreme temperatures, laboratory experiments have shown that these cold atoms can be used as ultra-sensitive sensors for measuring gravity. The objective of this project is to take the technology out of the laboratory and build it into a small satellite payload that is capable of producing cold atoms in space. Demonstrating this new technology in space is a vital first step towards realising real instruments that are capable of mapping tiny changes in the strength of gravity across the surface of the earth. The extreme sensitivity brought by cold atom sensors will provide the ability to finely monitor the movement of mass within earth systems. This has multiple applications including accurate monitoring of changes in polar ice mass, ocean currents and sea level. Higher resolution data will lead to the ability to monitor smaller water sources and new underground natural resources which are currently not detectable. Similar technology will also be used for deep space navigation and for providing higher precision timing sources in space.",EPSRC
EP/X035026/1,"Swansea University will use this equipment award from EPSRC too strategically invest in state of the art equipment in key areas across the Faculty of Science and Engineering within the remit of EPSRC. The primary objective of these interventions is to significantly enhance our ability to manufacture and characterise energy materials expanding both throughput and scale of the research. The equipment requested is a major extension of our current capabilities in particular in the fabrication of 3rd generation photovoltaics enabling enhanced device performance and complexity. 

The equipment has been carefully selected to fill major gaps in end-to-end fabrication and characterisation facilities for energy materials. This intervention will be of a major benefit to our sizeable research community enabling both higher performing and larger devices for study of behaviour and scale-up. This broader opportunity for scientific excellence will provide a benefit to both established research groups and for accelerating the careers of next generation researchers who will have open-access. The equipment has been carefully selected to augment, enhance and add value to the current research capabilities at the University. It will allow the creation of new fabrication and characterisation pathways, these new experimental methodologies will provide new insights, new data and improved quality of existing data. This, in turn, will lead to publication in high impact factor journals, create further opportunities for collaboration and growth of our networks through extensive public engagement and help leverage external funding to further grow and develop these areas.",EPSRC
